Date,Adjusted,symbol,era,era_start,indexed_price,era_day
2020-12-09,92.48999786376953,AI,AI,2020-01-01,100,344
2020-12-10,130,AI,AI,2020-01-01,140.55573900161588,345
2020-12-11,119.58000183105469,AI,AI,2020-01-01,129.28965790137286,346
2020-12-14,102.36000061035156,AI,AI,2020-01-01,110.67142715379859,349
2020-12-15,102,AI,AI,2020-01-01,110.28219521665245,350
2020-12-16,113.69000244140625,AI,AI,2020-01-01,122.92140238651821,351
2020-12-17,117.23999786376953,AI,AI,2020-01-01,126.75965030992302,352
2020-12-18,137.58999633789062,AI,AI,2020-01-01,148.7620278038603,353
2020-12-21,160.88999938964844,AI,AI,2020-01-01,173.95394432447355,356
2020-12-22,177.47000122070312,AI,AI,2020-01-01,191.88020901687383,357
2020-12-23,161.05999755859375,AI,AI,2020-01-01,174.13774600343532,358
2020-12-24,161,AI,AI,2020-01-01,174.07287676353965,359
2020-12-28,145.8800048828125,AI,AI,2020-01-01,157.7251683989465,363
2020-12-29,139.77999877929688,AI,AI,2020-01-01,151.1298540466849,364
2020-12-30,146.83999633789062,AI,AI,2020-01-01,158.76310923282142,365
2020-12-31,138.75,AI,AI,2020-01-01,150.01622143441696,366
2021-01-04,120.01000213623047,AI,AI,2020-01-01,129.75457336802594,370
2021-01-05,122.16999816894531,AI,AI,2020-01-01,132.08995674201668,371
2021-01-06,113.4000015258789,AI,AI,2020-01-01,122.60785397887905,372
2021-01-07,133.5800018310547,AI,AI,2020-01-01,144.42642979385457,373
2021-01-08,143.6300048828125,AI,AI,2020-01-01,155.29247291622622,374
2021-01-11,135.6199951171875,AI,AI,2020-01-01,146.6320664391679,377
2021-01-12,133.97999572753906,AI,AI,2020-01-01,144.85890239167378,378
2021-01-13,143.13999938964844,AI,AI,2020-01-01,154.76267996079142,379
2021-01-14,138.5,AI,AI,2020-01-01,149.7459219363369,380
2021-01-15,134.14999389648438,AI,AI,2020-01-01,145.04270407063552,381
2021-01-19,126.83000183105469,AI,AI,2020-01-01,137.12834334569374,385
2021-01-20,131.3800048828125,AI,AI,2020-01-01,142.04779751030472,386
2021-01-21,130.00999450683594,AI,AI,2020-01-01,140.56654504234112,387
2021-01-22,126.56999969482422,AI,AI,2020-01-01,136.84722955800243,388
2021-01-25,147.8300018310547,AI,AI,2020-01-01,159.8335011844163,391
2021-01-26,141.42999267578125,AI,AI,2020-01-01,152.91382413490427,392
2021-01-27,149.08999633789062,AI,AI,2020-01-01,161.1958047155417,393
2021-01-28,148,AI,AI,2020-01-01,160.01730286337806,394
2021-01-29,139.60000610351562,AI,AI,2020-01-01,150.93524632699788,395
2021-02-01,137.75,AI,AI,2020-01-01,148.93502344209682,398
2021-02-02,146.8800048828125,AI,AI,2020-01-01,158.8063663912666,399
2021-02-03,147.0500030517578,AI,AI,2020-01-01,158.99016807022838,400
2021-02-04,154.3699951171875,AI,AI,2020-01-01,166.90452879517017,401
2021-02-05,146.60000610351562,AI,AI,2020-01-01,158.50363227323874,402
2021-02-08,150.8000030517578,AI,AI,2020-01-01,163.04466054142884,405
2021-02-09,168.9199981689453,AI,AI,2020-01-01,182.63596288298237,406
2021-02-10,161.4499969482422,AI,AI,2020-01-01,174.5594125605293,407
2021-02-11,156.55999755859375,AI,AI,2020-01-01,169.27235503799477,408
2021-02-12,153.72999572753906,AI,AI,2020-01-01,166.21256273999617,409
2021-02-16,147.1699981689453,AI,AI,2020-01-01,159.11990655001972,413
2021-02-17,140.05999755859375,AI,AI,2020-01-01,151.43258816471277,414
2021-02-18,133.55999755859375,AI,AI,2020-01-01,144.40480121463196,415
2021-02-19,134.5399932861328,AI,AI,2020-01-01,145.4643706277295,416
2021-02-22,126.22000122070312,AI,AI,2020-01-01,136.4688119104676,419
2021-02-23,121.12000274658203,AI,AI,2020-01-01,130.95470379941216,420
2021-02-24,122.52999877929688,AI,AI,2020-01-01,132.4791886791628,421
2021-02-25,114.30999755859375,AI,AI,2020-01-01,123.59173986246962,422
2021-02-26,112.45999908447266,AI,AI,2020-01-01,121.59152522645459,423
2021-03-01,121.05000305175781,AI,AI,2020-01-01,130.8790202699052,426
2021-03-02,98.5,AI,AI,2020-01-01,106.49800224353203,427
2021-03-03,93.31999969482422,AI,AI,2020-01-01,100.89739631335834,428
2021-03-04,88.51000213623047,AI,AI,2020-01-01,95.69683660994211,429
2021-03-05,95.1500015258789,AI,AI,2020-01-01,102.87599061903683,430
2021-03-08,83.61000061035156,AI,AI,2020-01-01,90.39896479779628,433
2021-03-09,84.910003662109375,AI,AI,2020-01-01,91.80452548736687,434
2021-03-10,84.55999755859375,AI,AI,2020-01-01,91.42609959094598,435
